,year,SovietUnion_care_vic,SovietUnion_care_vir,SovietUnion_loya_vic,SovietUnion_loya_vir,SovietUnion_auth_vic,SovietUnion_auth_vir,SovietUnion_sanc_vic,SovietUnion_sanc_vir,SovietUnion_fare_vic,SovietUnion_fare_vir,SovietUnion_care,SovietUnion_loya,SovietUnion_auth,SovietUnion_sanc,SovietUnion_fare,SovietUnion_virtue,SovietUnion_vice,SovietUnion_vir_vic_diff,SovietUnion_vir_vic_diff_z
1979,1979.0,0.570410966873169,0.4862412214279175,0.6405724883079529,0.6169515252113342,0.6491947174072266,0.5636880397796631,0.5053033828735352,0.5506783723831177,0.5465174317359924,0.5231451988220215,0.4862412214279175,0.6169515252113342,0.5636880397796631,0.5506783723831177,0.5231451988220215,0.5481408715248108,0.5823997974395752,-0.034258925914764315,-0.02513232726718273
1980,1980.0,0.6161850690841675,0.49305471777915955,0.6813328266143799,0.6475086212158203,0.6898524761199951,0.5976735353469849,0.5601915121078491,0.5893452167510986,0.5817975401878357,0.5419596433639526,0.49305471777915955,0.6475086212158203,0.5976735353469849,0.5893452167510986,0.5419596433639526,0.5739083468914032,0.6258718848228455,-0.05196353793144226,-0.7560245495425427
1981,1981.0,0.616364598274231,0.5196356177330017,0.673845112323761,0.6230223178863525,0.684421181678772,0.6042290329933167,0.5638400912284851,0.5739375352859497,0.5588948726654053,0.543506383895874,0.5196356177330017,0.6230223178863525,0.6042290329933167,0.5739375352859497,0.543506383895874,0.5728661775588989,0.6194731712341308,-0.04660699367523191,-0.5348925342546691
1982,1982.0,0.5578345060348511,0.44524019956588745,0.6061195731163025,0.5680219531059265,0.6226595044136047,0.5259412527084351,0.5056583285331726,0.5112399458885193,0.5089724063873291,0.49817079305648804,0.44524019956588745,0.5680219531059265,0.5259412527084351,0.5112399458885193,0.49817079305648804,0.5097228288650513,0.560248863697052,-0.05052603483200069,-0.696680699821982
1983,1983.0,0.5750623345375061,0.439215749502182,0.6294735670089722,0.5812718272209167,0.6312137842178345,0.5532239675521851,0.5208874940872192,0.5378206968307495,0.5695724487304688,0.5338735580444336,0.439215749502182,0.5812718272209167,0.5532239675521851,0.5378206968307495,0.5338735580444336,0.5290811598300934,0.5852419257164001,-0.056160765886306696,-0.9292969863763634
1984,1984.0,0.6071351766586304,0.49435240030288696,0.65003502368927,0.634459912776947,0.6614916920661926,0.594872236251831,0.5522780418395996,0.5856332182884216,0.5656092762947083,0.513957142829895,0.49435240030288696,0.634459912776947,0.594872236251831,0.5856332182884216,0.513957142829895,0.5646549820899963,0.6073098421096802,-0.04265486001968388,-0.3717382246594257
1985,1985.0,0.5845210552215576,0.4716755151748657,0.6248393654823303,0.6039693355560303,0.643342912197113,0.5956039428710938,0.5180821418762207,0.5759434700012207,0.5495625734329224,0.5305325984954834,0.4716755151748657,0.6039693355560303,0.5956039428710938,0.5759434700012207,0.5305325984954834,0.5555449724197388,0.5840696096420288,-0.02852463722229004,0.21159395635105663
1986,1986.0,0.5738329291343689,0.4789818525314331,0.6171862483024597,0.596674919128418,0.6265838742256165,0.5930906534194946,0.5222746133804321,0.5570648908615112,0.5549397468566895,0.5350382328033447,0.4789818525314331,0.596674919128418,0.5930906534194946,0.5570648908615112,0.5350382328033447,0.5521701097488403,0.5789634823799134,-0.026793372631073065,0.28306504101697455
1987,1987.0,0.5552413463592529,0.4662352502346039,0.6241275072097778,0.594199001789093,0.626670777797699,0.5907709002494812,0.5062786340713501,0.5469498634338379,0.5470237135887146,0.5368072986602783,0.4662352502346039,0.594199001789093,0.5907709002494812,0.5469498634338379,0.5368072986602783,0.5469924628734588,0.5718683958053589,-0.024875932931900047,0.3622219161570449
1988,1988.0,0.5490536689758301,0.45543670654296875,0.6342477202415466,0.6136350631713867,0.6510729789733887,0.5758423209190369,0.5121200680732727,0.5589334964752197,0.5602594614028931,0.5267419815063477,0.45543670654296875,0.6136350631713867,0.5758423209190369,0.5589334964752197,0.5267419815063477,0.5461179137229919,0.5813507795333862,-0.03523286581039431,-0.06533908774344012
1989,1989.0,0.5535622835159302,0.45853012800216675,0.6475189924240112,0.6080626249313354,0.6804070472717285,0.588606595993042,0.5020560026168823,0.5644606351852417,0.5523623824119568,0.539687991142273,0.45853012800216675,0.6080626249313354,0.588606595993042,0.5644606351852417,0.539687991142273,0.5518695950508118,0.5871813416481018,-0.03531174659728997,-0.06859549085324508
1990,1990.0,0.5754622220993042,0.48016977310180664,0.6767137050628662,0.6479593515396118,0.6934200525283813,0.6308838725090027,0.5219835042953491,0.5784538984298706,0.5104483962059021,0.5450345277786255,0.48016977310180664,0.6479593515396118,0.6308838725090027,0.5784538984298706,0.5450345277786255,0.5765002846717835,0.5956055760383606,-0.019105291366577126,0.6004489404860894
1991,1991.0,0.5114808082580566,0.4374474883079529,0.6338452100753784,0.5660851001739502,0.6491453051567078,0.5623270273208618,0.4789814352989197,0.49699118733406067,0.4897843599319458,0.5202588438987732,0.4374474883079529,0.5660851001739502,0.5623270273208618,0.49699118733406067,0.5202588438987732,0.5166219294071197,0.5526474237442016,-0.03602549433708191,-0.09806084548451982
1992,1992.0,0.5640910267829895,0.5171307325363159,0.6789672374725342,0.6522812247276306,0.655727207660675,0.5902770757675171,0.552176296710968,0.5690493583679199,0.5612666606903076,0.5787128210067749,0.5171307325363159,0.6522812247276306,0.5902770757675171,0.5690493583679199,0.5787128210067749,0.5814902424812317,0.6024456858634949,-0.020955443382263184,0.5240698751319222
1993,1993.0,0.5954331159591675,0.5043035745620728,0.6918619871139526,0.6318109035491943,0.6977477073669434,0.6050260663032532,0.5926961898803711,0.5954535007476807,0.5767929553985596,0.5602063536643982,0.5043035745620728,0.6318109035491943,0.6050260663032532,0.5954535007476807,0.5602063536643982,0.5793600797653198,0.6309063911437989,-0.05154631137847909,-0.7388003572134324
1994,1994.0,0.6266361474990845,0.5217242240905762,0.7409678101539612,0.6626194715499878,0.7276690006256104,0.6270205974578857,0.6290701627731323,0.6297200918197632,0.6039573550224304,0.5699992179870605,0.5217242240905762,0.6626194715499878,0.6270205974578857,0.6297200918197632,0.5699992179870605,0.6022167205810547,0.6656600952148437,-0.06344337463378902,-1.2299419305522195
1995,1995.0,0.6329902410507202,0.5405184030532837,0.7418215274810791,0.6866061687469482,0.7190046310424805,0.6503908038139343,0.620111346244812,0.641821026802063,0.5783010125160217,0.5575717687606812,0.5405184030532837,0.6866061687469482,0.6503908038139343,0.641821026802063,0.5575717687606812,0.6153816342353821,0.6584457516670227,-0.043064117431640625,-0.38863343021524066
1996,1996.0,0.6748788356781006,0.5952275991439819,0.7657818794250488,0.723419189453125,0.7521700859069824,0.7030991315841675,0.6693590879440308,0.6877068877220154,0.6583564877510071,0.6451103687286377,0.5952275991439819,0.723419189453125,0.7030991315841675,0.6877068877220154,0.6451103687286377,0.6709126353263855,0.704109275341034,-0.033196640014648504,0.01872158500697687
1997,1997.0,0.6299359798431396,0.5144158005714417,0.7609454393386841,0.6841910481452942,0.7278259992599487,0.6533726453781128,0.6170344948768616,0.6586267948150635,0.5952991247177124,0.5944432020187378,0.5144158005714417,0.6841910481452942,0.6533726453781128,0.6586267948150635,0.5944432020187378,0.6210098981857299,0.6662082076072693,-0.04519830942153935,-0.4767384011002249
1998,1998.0,0.7353971004486084,0.6315330266952515,0.8085751533508301,0.7486389875411987,0.7858291268348694,0.7217046022415161,0.7158360481262207,0.7215495109558105,0.6833520531654358,0.6627403497695923,0.6315330266952515,0.7486389875411987,0.7217046022415161,0.7215495109558105,0.6627403497695923,0.6972332954406738,0.7457978963851929,-0.04856460094451909,-0.6157076306851288
1999,1999.0,0.6005861759185791,0.46189481019973755,0.7110804319381714,0.6391153335571289,0.6933749318122864,0.6086481213569641,0.5944123268127441,0.5979574918746948,0.57551109790802,0.5361010432243347,0.46189481019973755,0.6391153335571289,0.6086481213569641,0.5979574918746948,0.5361010432243347,0.568743360042572,0.6349929928779602,-0.0662496328353882,-1.3457915346730638
2000,2000.0,0.5936383008956909,0.48149681091308594,0.7139136791229248,0.6680501699447632,0.7400630116462708,0.672844409942627,0.5939048528671265,0.644610583782196,0.583221435546875,0.5612397193908691,0.48149681091308594,0.6680501699447632,0.672844409942627,0.644610583782196,0.5612397193908691,0.6056483387947083,0.6449482560157775,-0.03929991722106929,-0.23323749979879468
2001,2001.0,0.6894069910049438,0.5659162998199463,0.7767942547798157,0.7086178064346313,0.7524293661117554,0.6907958984375,0.6975768804550171,0.6810652017593384,0.6645187735557556,0.6285775899887085,0.5659162998199463,0.7086178064346313,0.6907958984375,0.6810652017593384,0.6285775899887085,0.6549945592880249,0.7161452531814575,-0.06115069389343264,-1.1352941337121383
2002,2002.0,0.690028727054596,0.5796235203742981,0.7696861028671265,0.7173627614974976,0.7668976783752441,0.6704108715057373,0.6741081476211548,0.6987419724464417,0.6005500555038452,0.5578700304031372,0.5796235203742981,0.7173627614974976,0.6704108715057373,0.6987419724464417,0.5578700304031372,0.6448018312454223,0.7002541422843933,-0.05545231103897097,-0.9000501360492744
2003,2003.0,0.651896595954895,0.5264315605163574,0.7319377660751343,0.6943071484565735,0.7462648153305054,0.6682778000831604,0.6497345566749573,0.6680697202682495,0.5906747579574585,0.5526679158210754,0.5264315605163574,0.6943071484565735,0.6682778000831604,0.6680697202682495,0.5526679158210754,0.6219508290290833,0.6741016983985901,-0.05215086936950686,-0.7637580763173794
2004,2004.0,0.6729936003684998,0.5909940004348755,0.7557235360145569,0.7148751020431519,0.7537130117416382,0.6747303009033203,0.6785809993743896,0.699739933013916,0.6629059910774231,0.6122217178344727,0.5909940004348755,0.7148751020431519,0.6747303009033203,0.699739933013916,0.6122217178344727,0.6585122108459472,0.7047834277153016,-0.046271216869354315,-0.5210307983631843
2005,2005.0,0.6689900159835815,0.536450982093811,0.7383389472961426,0.6771979331970215,0.7506850957870483,0.6592909097671509,0.6764810085296631,0.6632065176963806,0.6222180128097534,0.5772284269332886,0.536450982093811,0.6771979331970215,0.6592909097671509,0.6632065176963806,0.5772284269332886,0.6226749539375305,0.6913426160812378,-0.06866766214370734,-1.4456140449330734
2006,2006.0,0.6453715562820435,0.5283752679824829,0.7168676853179932,0.6633992791175842,0.7165452241897583,0.6458216905593872,0.629504919052124,0.6517572999000549,0.6011608839035034,0.5567641258239746,0.5283752679824829,0.6633992791175842,0.6458216905593872,0.6517572999000549,0.5567641258239746,0.6092235326766968,0.6618900537490845,-0.05266652107238767,-0.7850455136632868
2007,2007.0,0.6766039729118347,0.5712213516235352,0.7347463369369507,0.7060353755950928,0.7503674030303955,0.6713786125183105,0.6541236042976379,0.6941950917243958,0.6395627856254578,0.5646268129348755,0.5712213516235352,0.7060353755950928,0.6713786125183105,0.6941950917243958,0.5646268129348755,0.6414914488792419,0.6910808205604553,-0.04958937168121336,-0.658012819884399
2008,2008.0,0.6901409029960632,0.5303584337234497,0.7827928066253662,0.6718966960906982,0.7895742058753967,0.6662259697914124,0.6651557683944702,0.6943607330322266,0.6360477209091187,0.5620095729827881,0.5303584337234497,0.6718966960906982,0.6662259697914124,0.6943607330322266,0.5620095729827881,0.624970281124115,0.712742280960083,-0.08777199983596795,-2.2342905670642432
2009,2009.0,0.681115984916687,0.5675046443939209,0.7841293811798096,0.7029258608818054,0.7686000466346741,0.6716018915176392,0.6586090326309204,0.6965011358261108,0.6468406915664673,0.6121113300323486,0.5675046443939209,0.7029258608818054,0.6716018915176392,0.6965011358261108,0.6121113300323486,0.650128972530365,0.7078590273857117,-0.05773005485534677,-0.9940812979949087
2010,2010.0,0.7121334075927734,0.6108193397521973,0.800098180770874,0.7503799200057983,0.7970336079597473,0.7389172315597534,0.7123584151268005,0.7449634075164795,0.6935336589813232,0.666263997554779,0.6108193397521973,0.7503799200057983,0.7389172315597534,0.7449634075164795,0.666263997554779,0.7022687792778015,0.7430314540863037,-0.04076267480850215,-0.2936239201689122
