Congress,House Majority,Senate Majority,Presidency,Party Government,start_year,end_year,year,Presidency_party
84th (1955–1957),Democrats,Democrats,Republican (Eisenhower),Divided,1955,1957,1957,Republican
85th (1957–1959),Democrats,Democrats,Republican (Eisenhower),Divided,1957,1959,1957,Republican
85th (1957–1959),Democrats,Democrats,Republican (Eisenhower),Divided,1957,1959,1958,Republican
85th (1957–1959),Democrats,Democrats,Republican (Eisenhower),Divided,1957,1959,1959,Republican
86th (1959–1961),Democrats,Democrats,Republican (Eisenhower),Divided,1959,1961,1959,Republican
86th (1959–1961),Democrats,Democrats,Republican (Eisenhower),Divided,1959,1961,1960,Republican
86th (1959–1961),Democrats,Democrats,Republican (Eisenhower),Divided,1959,1961,1961,Republican
87th (1961–1963),Democrats,Democrats,Democrat (Kennedy),Unified,1961,1963,1961,Democrat
87th (1961–1963),Democrats,Democrats,Democrat (Kennedy),Unified,1961,1963,1962,Democrat
87th (1961–1963),Democrats,Democrats,Democrat (Kennedy),Unified,1961,1963,1963,Democrat
88th (1963–1965),Democrats,Democrats,Democrat (Kennedy / L. Johnson)10,Unified,1963,1965,1963,Democrat
88th (1963–1965),Democrats,Democrats,Democrat (Kennedy / L. Johnson)10,Unified,1963,1965,1964,Democrat
88th (1963–1965),Democrats,Democrats,Democrat (Kennedy / L. Johnson)10,Unified,1963,1965,1965,Democrat
89th (1965–1967),Democrats,Democrats,Democrat (L. Johnson),Unified,1965,1967,1965,Democrat
89th (1965–1967),Democrats,Democrats,Democrat (L. Johnson),Unified,1965,1967,1966,Democrat
89th (1965–1967),Democrats,Democrats,Democrat (L. Johnson),Unified,1965,1967,1967,Democrat
90th (1967–1969),Democrats,Democrats,Democrat (L. Johnson),Unified,1967,1969,1967,Democrat
90th (1967–1969),Democrats,Democrats,Democrat (L. Johnson),Unified,1967,1969,1968,Democrat
90th (1967–1969),Democrats,Democrats,Democrat (L. Johnson),Unified,1967,1969,1969,Democrat
91st (1969–1971),Democrats,Democrats,Republican (Nixon),Divided,1969,1971,1969,Republican
91st (1969–1971),Democrats,Democrats,Republican (Nixon),Divided,1969,1971,1970,Republican
