year,coll,indi,loose,tight
1830,0.00018293428481034162,7.04532800795965e-05,9.012675911487404e-06,1.4797331918714462e-05
1831,0.0001821613551637061,7.10894793876252e-05,8.985564970376283e-06,1.4794098590544175e-05
1832,0.0001795618364407606,7.306767216394164e-05,8.977945493867812e-06,1.4615173446332261e-05
1833,0.00017796996460869456,7.374906985369023e-05,9.050136495368312e-06,1.4613349035081616e-05
1834,0.00017830019148894799,7.354607550030018e-05,9.016745833654937e-06,1.4480864060471637e-05
1835,0.00017818637928712633,7.496609593144704e-05,9.093268903254919e-06,1.4543981492311432e-05
1836,0.00018123596309546234,7.652417651891698e-05,9.140408458771113e-06,1.4131289625091926e-05
1837,0.00017960344261577378,7.601854007712104e-05,9.086016477760641e-06,1.4082526292367802e-05
1838,0.00017797846760458924,7.704536012325442e-05,9.073333018557884e-06,1.3868202179472586e-05
1839,0.00017705896373497256,7.662257622672745e-05,9.05373738099132e-06,1.3855456530669536e-05
1840,0.00017510599505905186,7.673533541487287e-05,8.962901349345616e-06,1.3632805262123574e-05
1841,0.00017154825239426179,7.683241881016402e-05,8.89866039221159e-06,1.3453735173486947e-05
1842,0.00016993513223236993,7.637854636095249e-05,8.865380990866597e-06,1.3354825148732222e-05
1843,0.00016897172562429271,7.583627216651527e-05,8.89978085634973e-06,1.3319707368607071e-05
1844,0.00016723884701670092,7.601061137295163e-05,8.83720169716099e-06,1.3155699334431253e-05
1845,0.0001655075810406613,7.646927674783857e-05,8.89558363772707e-06,1.306496571942262e-05
1846,0.00016659879299498116,7.652139597207659e-05,8.997511845214105e-06,1.3075304982278013e-05
1847,0.00016672530918120695,7.702975443368842e-05,9.034330030251368e-06,1.3096416033623167e-05
1848,0.00016762759945062756,7.713746200099791e-05,9.035778471902908e-06,1.3142487718401493e-05
1849,0.00016922434908142999,7.738127786221278e-05,9.118614870698822e-06,1.3184074935931481e-05
1850,0.00016957554620538365,7.810013463175178e-05,9.133185097344255e-06,1.3196413186530469e-05
1851,0.000170277312106139,7.845842650665093e-05,9.21557519257464e-06,1.3186893146764433e-05
1852,0.00017089790537738736,7.759630348808904e-05,9.15397075971769e-06,1.3237108566142649e-05
1853,0.0001692853760784731,7.758960104174507e-05,9.187284702274638e-06,1.3148925104847619e-05
1854,0.00016975306081284152,7.729563501384412e-05,9.128074787557413e-06,1.3050081497770604e-05
1855,0.00016969390693637773,7.761630907080328e-05,9.113014660934253e-06,1.2993963613082217e-05
1856,0.000167786227783446,7.717940675051288e-05,8.951492311099327e-06,1.2807690777703685e-05
1857,0.00016580626845552612,7.718158153353321e-05,8.928950836609958e-06,1.2656897981701471e-05
1858,0.00016645307216224734,7.671768763500047e-05,8.912533719008876e-06,1.2658234352207797e-05
1859,0.00016614555636351724,7.654619704793626e-05,9.027373344067115e-06,1.260171332871453e-05
1860,0.00016539464901857822,7.624142980792011e-05,8.979862207963983e-06,1.2541676534283399e-05
