,year,rural,obliged,give,act,obedience,authority,belong,pray,mean
16,1816,6.963039140828187e-06,9.771875816763245e-05,0.000443209582174729,0.0007427809344205473,5.19980130775366e-05,0.00022484392684418708,4.459797336104592e-05,5.7695104000491225e-05,0.0002087259163983747
17,1817,7.176829318008718e-06,9.604909012393494e-05,0.0004451464129877942,0.0007695037888229958,5.238890298642218e-05,0.00022956988167217269,4.553744344905551e-05,5.840537882509774e-05,0.0002129722160231852
18,1818,7.31008796200123e-06,9.274217986135877e-05,0.0004445799235587141,0.0007727974443696439,5.138882884888777e-05,0.00023587366740684956,4.533375561420273e-05,5.920715349410395e-05,0.00021365413013947024
19,1819,7.644492922866317e-06,9.236413045852845e-05,0.00044032126399023194,0.0007520151806862227,4.821190200995521e-05,0.00024264793942815492,4.470646620445352e-05,5.572744755357105e-05,0.00021045485290674802
20,1820,7.558048699658164e-06,9.010403612462272e-05,0.00044224302733450064,0.0007292709280071514,4.761783878036242e-05,0.00024813724615211995,4.446148731014026e-05,5.5525377060153657e-05,0.00020811474868358867
21,1821,7.694491874385026e-06,8.680119416177539e-05,0.000435810349050111,0.000719866349494883,4.746924969367683e-05,0.00024379290490677313,4.3926882686459324e-05,5.5201102700915984e-05,0.00020507031557112247
22,1822,7.67353516753896e-06,8.690342656336725e-05,0.000438622577348724,0.0007211192028730043,4.503991294768639e-05,0.000243871973777589,4.3107546974040035e-05,5.376164283786368e-05,0.00020501247731122672
23,1823,7.171978787872442e-06,8.657203060075907e-05,0.0004397941063091691,0.0007152216359307724,4.483289688193638e-05,0.0002394463392972414,4.269830969860777e-05,5.5864211130288565e-05,0.0002039501885795809
24,1824,7.214336424762483e-06,8.394845541001164e-05,0.0004368697451094964,0.0006684492358804814,4.4805367776591864e-05,0.00023396510264969299,4.245055710530973e-05,5.488435947752025e-05,0.00019657339497923334
25,1825,7.09784301631901e-06,8.44118497168113e-05,0.00043702288114997955,0.0006570506125821599,4.49691475036421e-05,0.0002260876021214894,4.198419005011341e-05,5.536297092995872e-05,0.00019424838713380917
26,1826,7.031280737075056e-06,8.307668446962322e-05,0.0004407031270342746,0.0006460270960815251,4.593338287252534e-05,0.00021824189544921474,4.261016095240068e-05,5.594956746790558e-05,0.00019244664938306802
