Year,indi_%,coll_%,tight_%,loose_%
1932,0.4053174064919154,0.20257429728875406,0.041358919029787285,0.035112878196717365
1933,0.38932465006393396,0.21909175104868722,0.05092040697156034,0.04148879312966201
1934,0.466890608859991,0.21581920208882327,0.043864152671856865,0.04187678005889248
1935,0.4436194311603322,0.20873316763151273,0.04719355650641833,0.040016203121067205
1936,0.4563186318718496,0.20111322111289387,0.0425422559138067,0.038499779107517375
1937,0.45951930866864704,0.1974615176883608,0.044720496894409933,0.04420199837969214
1938,0.4461428633011256,0.23377734448832604,0.046802840193407524,0.04836609295290393
1939,0.4577794513509438,0.2009190806304073,0.04501490413225081,0.04153832678201679
1940,0.4513135125158222,0.2026085677424674,0.04904766946274298,0.04942243675567702
1941,0.4723295287348405,0.20548588458480208,0.0369816156291153,0.0441608908979729
1942,0.45285152605382484,0.20525578237713696,0.04578887561762795,0.04692338690646908
1943,0.4373629363289271,0.19168233765135598,0.043382432688295385,0.042693093185833066
1944,0.48482246830767584,0.19672100633671982,0.035016571796187265,0.040949612200192415
1945,0.43587974352095404,0.1825487728940811,0.03242121644404098,0.04029140486328146
1946,0.4312747086657594,0.19556780230209322,0.044468243033658844,0.04598134015011605
1947,0.4738477423665245,0.21338807304448837,0.047973169190121796,0.051152399987093276
1948,0.4253882832815939,0.20575329571331452,0.04040903450931547,0.04378437739185829
1949,0.4940964539740087,0.20008639888452062,0.03494939137742759,0.04029832546632053
1950,0.4080201584435612,0.20633158070819246,0.04629985207479314,0.05593299842962358
1951,0.4741947588565745,0.1972562119651031,0.03839615102669564,0.04711212318329323
1952,0.46845096311790413,0.19175513301415942,0.033066034077520345,0.04221492271975561
1953,0.4511444523621215,0.19772440741407799,0.03421023781743577,0.045662592108251174
1954,0.4820032071811224,0.19256462850666464,0.04100294120219389,0.04702219354931646
1955,0.4840537254034933,0.2073199941042081,0.03901356032132065,0.050206352715749136
1956,0.3777612915370221,0.2037846995382622,0.04880911516869484,0.056604400349902
1957,0.4491603207021622,0.1878017041099738,0.0423811323780397,0.04621585293398454
1958,0.4900045364408025,0.19830234580947895,0.03325861632954981,0.044675110276869365
1959,0.42778397193721984,0.19560170980913197,0.040323898994082195,0.04629430002023302
1960,0.50592164984382,0.19442524655389687,0.0306512146868376,0.04018802028082164
1961,0.5216964764545712,0.19478338067261797,0.03618454289595519,0.04555452596089824
1962,0.5333406522153055,0.1993594834699048,0.03084222606082334,0.042609615981693647
1963,0.49575829084977663,0.19419403191457543,0.03710493109796352,0.04989226132448132
1964,0.5385643320011344,0.20341646552252426,0.03596129481563542,0.049310203459220034
1965,0.5614134824428757,0.20130935041998496,0.03112820067531812,0.042678401452212474
1966,0.5868329556856846,0.21359875068527662,0.03421015340176318,0.04480241847176517
1967,0.5351421864907222,0.19907030006930268,0.037295824130227605,0.05879295972221606
1968,0.5604820305757353,0.19901815460648145,0.041043803398072586,0.05142075677518035
1969,0.5989259000911314,0.20138383592858655,0.03887535421306702,0.05387918236658271
1970,0.5404132407846923,0.2019763306924054,0.038553781975611705,0.05414403634253366
1971,0.4993729179387302,0.19174472008166948,0.040866925865948436,0.05969145470971209
1972,0.5587201034062796,0.18778970601460554,0.034181689589103316,0.046947426503651385
1973,0.6234213099961282,0.19465176358357755,0.029107173874598102,0.04943099216863413
1974,0.6474299617240306,0.20843720829100232,0.02911622873609325,0.04465321488568236
1975,0.6041468480269351,0.20673642827852184,0.04171252969683084,0.05221329587921711
1976,0.5808376723968417,0.19427867099160856,0.03089434533563329,0.04644143503234914
1977,0.5519715861146163,0.19414959827534856,0.03605926431766704,0.053294370313568915
1978,0.6623728883480127,0.18297546117723096,0.0314126496290643,0.05001959530537736
1979,0.631656620614854,0.19283893503768684,0.03196471031324608,0.050998058679287674
1980,0.5227321285045223,0.1847854470968464,0.03700795946674625,0.058288595952779035
1981,0.5349610429860283,0.19750070454578253,0.030346742871553894,0.06251656916968425
1982,0.5122857818673995,0.17849741129568464,0.03514503138236676,0.06367242326779933
1983,0.5270347340134288,0.17805117557709002,0.03945845106460528,0.06895059232423294
1984,0.5668771587180539,0.19174156374872164,0.03611671108896288,0.0645570480440347
1985,0.6552312692878526,0.18668560671399545,0.030088783250150533,0.05434475272604021
1986,0.6126473610331967,0.18303856335466936,0.027309994308022237,0.04960973402118927
1987,0.5992103318788699,0.17836409532550104,0.03420583252380722,0.06100517202206204
1988,0.6163213531920367,0.19184081923882948,0.03552607763682027,0.057365266415665576
1989,0.6784530507217934,0.19867716647040864,0.027462492912905055,0.053391720092459335
1990,0.395068404667215,0.18070999650747513,0.03792957117052159,0.08584851455030926
1991,0.46535371321190244,0.1673497773108622,0.03728748353875975,0.0739091191571845
1992,0.4835761635248917,0.1538600677296931,0.03159825774129401,0.08312686533001197
1993,0.5588660934706734,0.1715757214607985,0.02481484634374734,0.05335404784200221
1994,0.5343464798864316,0.16920505347896692,0.0386274563773324,0.07916762496658585
1995,0.556585790261155,0.15894521071620082,0.028939500530865903,0.07064642776652559
1996,0.47699126916264994,0.15845505418774394,0.04047198647440666,0.1022188676245338
1997,0.5369558704317934,0.15461716740369694,0.029837684628326942,0.07604323729490163
1998,0.5120415549379767,0.1523035214319415,0.02965463078135885,0.07406262525568799
1999,0.535061114176671,0.1643559742356407,0.026629828736913937,0.0669266489049123
2000,0.5094302384792112,0.1671931433364991,0.03103977052377614,0.07152958827961527
2001,0.46440881079435986,0.167535740575787,0.03187568939777879,0.07869003693059061
2002,0.5165739765752418,0.15684383781523645,0.027588044980866172,0.07022411449675027
2003,0.49735656517876714,0.15805807769073688,0.028301914002561233,0.07401761713026524
2004,0.48445961382030883,0.15914341940620413,0.02868334510353258,0.07270617382941125
2005,0.47921851485169237,0.14602960640381338,0.028257042806280178,0.0660726408334502
2006,0.5003429071469034,0.15297700501241074,0.025020353094921444,0.07172501220544147
2007,0.48496805401925014,0.1541016478032542,0.029454539451072445,0.07883310495121428
2008,0.5234732373792567,0.16268444434681853,0.02773186308696822,0.06164161646558777
2009,0.5378969182431981,0.1630590280098937,0.022140517414265662,0.049789424426766496
2010,0.4754823915961938,0.1634537968653884,0.02905093813010947,0.0781147447498499
2011,0.4635917055984107,0.1652012292601158,0.028810783963743033,0.08633534588461718
