,Year,MeanCompound,year,efficiency_vir_vic_diff
68,1941,0.33819163265306124,1941,0.0334507822990417
69,1942,0.28582924149021705,1942,0.038744032382965
70,1943,0.30605348151508277,1943,0.0369017124176025
71,1944,0.36111484480431855,1944,0.0424747228622436
72,1945,0.36989612630805946,1945,0.0368971943855285
73,1946,0.3764028493275587,1946,0.0330701351165771
74,1947,0.38028169299311465,1947,0.0392045497894287
75,1948,0.40826745705298817,1948,0.0336141109466552
76,1949,0.39938510434921143,1949,0.0361487865447998
77,1950,0.40362565768621234,1950,0.0434041261672973
78,1951,0.3934839222614841,1951,0.0224517464637756
79,1952,0.3997507371349096,1952,0.0296936154365539
80,1953,0.42130405836753304,1953,0.0289253711700439
81,1954,0.42105034265201785,1954,0.0371932744979858
82,1955,0.4507592429349235,1955,0.0336551427841186
83,1956,0.43808818366827784,1956,0.0358901500701904
84,1957,0.44256301473775467,1957,0.0469382405281066
85,1958,0.44207785451610015,1958,0.0399527430534362
86,1959,0.43957779531702185,1959,0.0396412134170531
87,1960,0.44244764822134386,1960,0.0510828375816345
88,1961,0.45380483111399805,1961,0.0476044178009033
89,1962,0.4478315801722132,1962,0.0328748226165771
90,1963,0.4317472875364991,1963,0.0359038114547729
91,1964,0.44133610235156323,1964,0.0444872260093688
92,1965,0.4351161681433615,1965,0.0600331425666809
93,1966,0.43747354611847444,1966,0.0542346954345702
94,1967,0.40882245235209874,1967,0.0688813090324401
95,1968,0.3958642238760632,1968,0.0679026126861571
96,1969,0.40412794403892943,1969,0.0601437091827392
97,1970,0.3858442722681359,1970,0.0582186102867126
98,1971,0.39044694199066005,1971,0.0460118055343627
99,1972,0.3951912056349586,1972,0.0469917416572571
100,1973,0.4062560141889713,1973,0.046024751663208
101,1974,0.415017248844421,1974,0.0554385185241699
102,1975,0.3945920650353806,1975,0.0457740068435669
103,1976,0.40926817490049167,1976,0.0343874812126159
104,1977,0.39021821148825064,1977,0.0419980406761169
105,1978,0.4057674586240701,1978,0.0513601303100585
106,1979,0.4104968548387097,1979,0.0472779035568237
107,1980,0.4192032352066607,1980,0.0561165690422057
108,1981,0.3921736119736679,1981,0.0508815884590149
109,1982,0.39449019048251144,1982,0.0530105590820312
110,1983,0.39100573901891633,1983,0.0567757606506348
111,1984,0.4107730373502466,1984,0.0529129028320313
112,1985,0.39353797468354434,1985,0.0612687945365906
113,1986,0.4011048554533509,1986,0.0473390698432922
114,1987,0.40467997197987643,1987,0.0541074275970459
115,1988,0.4172779867019375,1988,0.0598077178001403
116,1989,0.4268692278345796,1989,0.0628557205200195
117,1990,0.42775903275504057,1990,0.0659552931785583
118,1991,0.40822190643863177,1991,0.0593106031417847
119,1992,0.4269949008498583,1992,0.060558247566223
120,1993,0.40706781427441957,1993,0.0652184963226318
121,1994,0.40488572120429417,1994,0.046198034286499
122,1995,0.40017808606368255,1995,0.054487955570221
123,1996,0.4305368657263235,1996,0.0553184986114501
124,1997,0.44599769884541374,1997,0.0487906098365783
125,1998,0.43839056233467016,1998,0.0389776706695557
126,1999,0.4274611695906433,1999,0.0347098350524902
127,2000,0.44067823811974616,2000,0.0325795531272887
128,2001,0.4466610970035551,2001,0.0517108798027038
129,2002,0.4408077644041042,2002,0.0363336324691772
130,2003,0.44302546049627034,2003,0.0437901616096496
131,2004,0.4336015282086637,2004,0.0515208721160888
132,2005,0.44550797333991604,2005,0.0538474440574646
133,2006,0.44022252665245204,2006,0.0443902969360351
134,2007,0.4666225664031902,2007,0.0449440836906432
135,2008,0.48415157761884736,2008,0.0339148998260497
136,2009,0.46059149031967583,2009,0.0314732670783997
137,2010,0.4821079761258817,2010,0.0398592948913574
