GDP per capita,year,coll,indi,loose,tight
7406.342,1897,0.0001292912662133,8.234797091485495e-05,7.628647189942412e-06,1.1906277354662672e-05
7426.911,1898,0.0001294229564661,8.245628578151809e-05,7.577902362412351e-06,1.1948298964016756e-05
7959.1494,1899,0.0001270740948647,8.316954982693199e-05,7.595382481677901e-06,1.1862044149881151e-05
8037.5713,1900,0.000126787794524,8.303990693596981e-05,7.563249582577833e-06,1.184646596900255e-05
8770.363,1901,0.0001248001025097,8.381583651839719e-05,7.533191356766686e-06,1.1736664983784194e-05
8684.228,1902,0.0001248371751216,8.413386466697504e-05,7.525167871117199e-06,1.1776175316364454e-05
8941.348,1903,0.0001244480120184,8.385229488843443e-05,7.50310325632519e-06,1.1926562210565602e-05
8663.658,1904,0.0001249073338353,8.359890077664595e-05,7.468682092711339e-06,1.202302606106035e-05
9121.332,1905,0.0001231673017108,8.42354511486779e-05,7.438817182865015e-06,1.200210347209106e-05
9980.113,1906,0.0001236245340773,8.498756499518225e-05,7.445731001141832e-06,1.2122181148908694e-05
9950.544,1907,0.0001224697828417,8.557894817938306e-05,7.443811300427367e-06,1.2183646939537394e-05
8975.977,1908,0.0001224611042159,8.590245976490352e-05,7.44052417054737e-06,1.222951853482154e-05
9798.118,1909,0.0001222614817087,8.725791947686698e-05,7.418293121305212e-06,1.2292068381317527e-05
9636.782,1910,0.0001222068764751,8.83052128943161e-05,7.42433340607529e-06,1.2232449165188491e-05
9735.89,1911,0.0001218480210322,8.930456747537261e-05,7.430527212110018e-06,1.2269159734503074e-05
9976.567,1912,0.0001226520046364,8.978825397727113e-05,7.46182571823533e-06,1.2346428744842389e-05
10107.97,1913,0.0001225739864919,9.084750372169636e-05,7.476575034750878e-06,1.232652454703498e-05
9096.372,1914,0.0001232609692384,9.16079236747334e-05,7.57685134844136e-06,1.23388023703898e-05
9164.177,1915,0.0001223481436422,9.289781230238858e-05,7.704732819438313e-06,1.231867239042117e-05
10222.32,1916,0.0001220375118334,9.386895846676324e-05,7.841736845677034e-06,1.2155024136108391e-05
9769.078,1917,0.0001205047613146,9.481324289189226e-05,7.915035167569653e-06,1.2018724355198989e-05
10471.306,1918,0.0001205139179936,9.52757387316134e-05,7.954723704924854e-06,1.1820241931711656e-05
10449.78,1919,0.0001186054748408,9.627831032535791e-05,7.956154755426762e-06,1.1573032260768298e-05
10152.927,1920,0.0001181189412997,9.631883042564888e-05,7.953955530970645e-06,1.1371053520191154e-05
9674.881,1921,0.0001174804778867,9.797640360277778e-05,7.925368179565306e-06,1.1172388963335118e-05
10009.715,1922,0.0001176379572192,9.799392909469264e-05,7.814527882995684e-06,1.0958779099315816e-05
11071.243,1923,0.0001173650090078,9.844183900245948e-05,7.754841263801572e-06,1.0809919278744118e-05
11126.713,1924,0.000117566786108,9.812012124906948e-05,7.715677186966031e-06,1.0680165496726852e-05
11149.772,1925,0.0001160312735594,9.825106650396263e-05,7.680588111411939e-06,1.057107865689894e-05
11647.768,1926,0.0001167498003594,9.86625484041984e-05,7.710487246616922e-06,1.0413188472162866e-05
11532.397,1927,0.0001159818068653,9.941333032007344e-05,7.720882077206464e-06,1.0299587177544013e-05
11451.069,1928,0.0001155984372352,9.814333621501908e-05,7.673156895616048e-06,1.0203729051332692e-05
11954.235,1929,0.0001148436992366,9.885680326858296e-05,7.728258888038087e-06,1.0260972208391602e-05
10694.982,1930,0.0001142404566962,9.821121877199142e-05,7.757564684052593e-06,1.0307476190263289e-05
9930.964,1931,0.000113059578179,9.898228561918848e-05,7.825863594379536e-06,1.04074348864661e-05
8380.505,1932,0.0001139861402634,9.98391295589889e-05,7.974571465671881e-06,1.0489340274842465e-05
8048.2246,1933,0.0001125203117128,0.0001003244027028,8.089862215136602e-06,1.0644791301319044e-05
8667.092,1934,0.0001123845975712,0.0001007613268484,8.218143422005141e-06,1.0760918693415126e-05
