year,target,foundation,target_missing_count,foundation_missing_count,target_missing_words,foundation_missing_words
1956,efficiency,fare_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1956,efficiency,fare_vic,4,2,"['产出率', '最优化', '增值性', '节本降耗']","['不公', '排外']"
1956,efficiency,loya_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1956,efficiency,loya_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['不忠']
1956,efficiency,auth_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1956,efficiency,auth_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['犯上']
1956,efficiency,sanc_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1956,efficiency,sanc_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1957,effort,care_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1957,effort,care_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1957,effort,fare_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1957,effort,fare_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1957,effort,loya_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1957,effort,loya_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['不忠']
1957,effort,auth_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1957,effort,auth_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['犯上']
1957,effort,sanc_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1957,effort,sanc_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1957,efficiency,care_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1957,efficiency,care_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1957,efficiency,fare_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1957,efficiency,fare_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1957,efficiency,loya_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1957,efficiency,loya_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['不忠']
1957,efficiency,auth_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1957,efficiency,auth_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['犯上']
1957,efficiency,sanc_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1957,efficiency,sanc_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1958,effort,care_vir,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['友善']
1958,effort,care_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1958,effort,fare_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1958,effort,fare_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['不公']
1958,effort,loya_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1958,effort,loya_vic,6,2,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']","['不忠', '变节']"
1958,effort,auth_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1958,effort,auth_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['犯上']
1958,effort,sanc_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1958,effort,sanc_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1958,efficiency,care_vir,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['友善']
1958,efficiency,care_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1958,efficiency,fare_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1958,efficiency,fare_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['不公']
1958,efficiency,loya_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1958,efficiency,loya_vic,4,2,"['产出率', '最优化', '增值性', '节本降耗']","['不忠', '变节']"
1958,efficiency,auth_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1958,efficiency,auth_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['犯上']
1958,efficiency,sanc_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1958,efficiency,sanc_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1959,effort,care_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1959,effort,care_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1959,effort,fare_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1959,effort,fare_vic,6,2,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']","['不公', '作假']"
1959,effort,loya_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1959,effort,loya_vic,6,2,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']","['不忠', '变节']"
1959,effort,auth_vir,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['尊崇']
1959,effort,auth_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['犯上']
1959,effort,sanc_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1959,effort,sanc_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
