Year_x,GDP per capita,Year_y,indi_%,coll_%,tight_%,loose_%,year
1896,6885.674,1896,0.3558645891951126,0.2432045127821912,0.054526413794727,0.0394898818569053,1896
1897,7406.342,1897,0.3039624586438694,0.2320888524853047,0.0610229481813865,0.0519007135988031,1897
1898,7426.911,1898,0.3197069869944439,0.2446265038790607,0.0579209031209937,0.0387115439463871,1898
1899,7959.1494,1899,0.3358823868009201,0.2241703140089924,0.0513790258451423,0.0473816949961945,1899
1900,8037.5713,1900,0.2917204936284024,0.2384480307446622,0.0539216322715086,0.0449955531896937,1900
1901,8770.363,1901,0.2568265978235656,0.2173597424725108,0.0543190757580056,0.0415528413632669,1901
1902,8684.228,1902,0.3381056353304423,0.2376521247285931,0.0441954900327006,0.0363903232149988,1902
1903,8941.348,1903,0.2469954170259186,0.2312346835028385,0.0551625673307807,0.0472822005692406,1903
1904,8663.658,1904,0.3305178562348411,0.2373357136336931,0.0569752745687492,0.0430071427389913,1904
1905,9121.332,1905,0.3501421635401213,0.2153544517194067,0.0425775239023706,0.0397653351857598,1905
1906,9980.113,1906,0.293306092083567,0.2232413015839528,0.0543529555460556,0.0428605533008733,1906
1907,9950.544,1907,0.3968566082402852,0.2227038490332992,0.05083299104815,0.0415597328913242,1907
1908,8975.977,1908,0.3799443922822125,0.2133031120770596,0.0522316973085046,0.0403531067345356,1908
1909,9798.118,1909,0.3875574050950023,0.2281601034265227,0.0453334752505834,0.039038060648856,1909
1910,9636.782,1910,0.3694530655869114,0.2188457032454319,0.0536452017347337,0.0425461944792715,1910
1911,9735.89,1911,0.3920267901507204,0.2328696930381494,0.047488337105946,0.0407166123778501,1911
1912,9976.567,1912,0.4202338069079764,0.205968672742021,0.0485162635443114,0.0393631022994274,1912
1913,10107.97,1913,0.420122490135988,0.239301921301078,0.0447099372080059,0.0441439886357526,1913
1914,9096.372,1914,0.386535327781098,0.2127449167809647,0.0486716341544163,0.0431681278189346,1914
1915,9164.177,1915,0.3700920709254796,0.2315543763049616,0.0564855491569778,0.0530039191721411,1915
1916,10222.32,1916,0.3364692016172266,0.2181440062736643,0.0610132361131272,0.047249112705616,1916
1917,9769.078,1917,0.4958649786107644,0.2145415640196874,0.0415060237835142,0.0386495091122818,1917
